"","WT4_T00","WT4_T01","WT4_T02","WT4_T03","WT4_T04","WT4_T05","WT4_T06","WT4_T07","WT4_T08","WT4_T09","WT4_T10","WT5_T00","WT5_T01","WT5_T02","WT5_T03","WT5_T04","WT5_T05","WT5_T06","WT5_T07","WT5_T08","WT5_T09","WT5_T10","WT7_T00","WT7_T01","WT7_T02","WT7_T03","WT7_T04","WT7_T05","WT7_T06","WT7_T07","WT7_T08","WT7_T09","WT7_T10"
"SPAC57A10.11c",0.753522718709969,0.734591934180563,0.789639924194567,0.912242291552636,1.08289566300287,1.16907105613879,1.37794190596924,1.383700013837,1.42649282474109,1.46646918215014,1.31580678693141,0.879275477006946,0.818129755379203,0.81712698153293,0.866851595006935,1.03178943241263,1.24407509237258,1.37161040777977,1.36561650757234,1.44435617823355,1.47412179194245,1.52597204419215,0.85535882302626,0.862887220640262,0.861846074291131,0.96515780330084,1.15799712816712,1.35733094443087,1.54033363626562,1.64943012189289,1.77216984475792,1.79749429295562,1.74179614017975
"SPAC57A10.12c",0.784806152880239,0.920640765973117,0.819940964250574,0.697739324588334,0.634155621789587,0.612332374012614,0.619348445435402,0.646830530401035,0.65095690665278,0.707764172977564,0.696233377428114,0.954016409082236,1.18941421349985,1.08307159103217,0.885425889853019,0.811095790412848,0.773036487322202,0.745045447772314,0.79428117553614,0.810569830590905,0.852442247037763,0.877269935959295,0.937558597412338,1.0135511792668,0.89349535382416,0.781066937436538,0.72463768115942,0.663966536086581,0.656900742297839,0.689512514652141,0.676406926406926,0.709622480840193,0.758207597240124
"SPAC57A7.04c",0.835352100910534,0.996412913511359,1.0538407225132,1.01306858474319,1.04057189831531,1.10277900308778,1.15940684745684,1.20368810033944,1.20238553289727,1.18702815630787,1.16799233797026,0.81672655994773,0.966837474620516,1.03202369526404,0.997804829375374,0.983961428711995,1.02960102960103,1.11424337303754,1.15048320294524,1.15141047783535,1.15727346371948,1.15284406631159,0.876501007976159,1.03381612546393,1.05244324699791,0.988239944658563,1.01658042676046,1.06568907455561,1.13114494491324,1.19094406135744,1.16679306924917,1.15374852897063,1.13036499485684
"SPAC57A7.06",2.11197702169,1.86873972193153,1.33509565960401,1.32839171614926,1.07544227563586,1.14873868492395,0.977612669860201,0.98405825624877,1.07092753033402,1.07013676347837,1.01866188574688,1.78842886524188,1.78820499982118,1.45944920387046,1.29679820523128,1.30845523774632,1.16222310034634,0.970214417386242,1.01478542362218,0.992950054612253,0.919286633572348,0.965530559042194,1.94216240362019,1.8205651034081,1.49714046171812,1.35904649298052,1.11434270495548,1.01973181053383,1.04021470031414,0.929627219484986,0.969274013763691,0.993936984395189,0.749512816669165
"SPAC57A7.07c",0.737626318507044,0.663834306956984,0.62402496099844,0.741234897338967,0.956663158901751,0.993936984395189,1.05190078471799,1.03207695165752,1.04257892322449,1.00408663259466,1.01072377929836,0.686577411603158,0.668359844940516,0.635647088736334,0.692281066112842,0.835770998746344,0.993541977148535,1.01647709368869,0.971817298347911,0.965996908809892,1.01856850382472,0.929627219484986,0.75642965204236,0.68870523415978,0.665380264821345,0.740850496369832,0.954653937947494,0.990687537150783,0.992358836955443,1.07211012715226,0.916002564807182,0.944376239493814,1.01742855108
"SPAC57A7.08",0.922339051835455,0.896780557797507,0.848536274925753,0.917936478795667,0.877886050390659,0.887784090909091,0.926011667747013,0.94197437829691,0.935716290820623,0.996412913511359,1.00601597553369,0.761672633102293,0.784867749784161,0.832154447865524,0.794344268806101,0.918864283745291,0.937207122774133,0.885112409275978,1.01891098793609,1.00670465298891,0.928074245939675,0.965623792970259,0.868583340571528,0.855724798904672,0.838152711424021,0.902608538676776,0.967211529161428,0.861846074291131,0.982704402515723,1.01519750667492,1.03638756749474,0.964785335262904,0.971062342202369
"SPAC57A7.10c",0.721136511141559,0.721969532885712,0.781983109164842,0.876654685719295,1.05671383132734,1.17939827100213,1.19136971776451,1.22221000012222,1.2102142079148,1.18040062797313,1.17369514442319,0.761672633102293,0.738443361394181,0.746602956547708,0.863781636002419,0.972762645914397,1.14441354527872,1.15950095079078,1.18972553032016,1.20068198736883,1.18923033013034,1.15849349505903,0.728173013908105,0.737735153080044,0.790388871324692,0.881445570736007,1.00108116766107,1.13680285564877,1.16270957840151,1.19978883716466,1.18928690357262,1.15933964014098,1.1375140767367
"SPAC57A7.11",0.794218092288142,0.835910724734598,0.735618655289098,0.838855800687862,0.984155102844208,0.991866693116445,1.09416373066066,1.14155251141553,1.15056262512369,1.1251378293841,1.17152262795956,0.840830740771883,0.713521227256511,0.796431984708506,0.892219842969308,1.07339902535368,1.02731634152104,1.02044981427813,1.09046497426503,1.16653445942793,1.28822817097364,1.15970265223997,0.687237990516116,0.71921749136939,0.769112444239348,0.856751199451679,0.924641701340731,1.05749606082717,1.09996480112636,1.19552872257756,1.11375938342281,1.23331935571397,1.0741830837648
"SPAC57A7.12",0.929022668153103,1.05185652676975,1.09963821902594,1.02175312401018,0.95428953144384,0.923958237087684,0.913408841797589,0.914745700695207,0.914160343724289,0.89031339031339,0.88339222614841,0.996611520829181,1.08952638288136,1.12534041547568,1.07266213288139,0.980296049406921,0.954745083062822,0.928936367858802,0.933619643357296,0.916842394792335,0.927041809585612,0.911660133102379,0.993640699523052,1.06748649629582,1.04816309417745,0.963948332369385,0.937734433608402,0.910912734560029,0.895656068069861,0.878580214373572,0.878811846383689,0.861623298293986,0.848392296597947
"SPAC589.04",0.564812199943519,0.595344406739299,0.679855870555442,0.793021411578113,1.04403750182707,1.23105710873927,1.37891093614263,1.55977040179686,1.64295337298327,1.74416576551435,1.75373985023062,0.662690523525514,0.681431005110733,0.682780281305476,0.764000305600122,0.955109837631328,1.13214382755185,1.3420837191824,1.56242676124557,1.61642285621919,1.66295273888316,1.59304159431603,0.572573718866304,0.615157480314961,0.669209663387539,0.783453462864306,0.997406742469579,1.17009700104139,1.38715494520738,1.46625416049618,1.47013422325458,1.55950283049764,1.59190041071031
