	pat1_exp_ribo	pat1_0h_ribo	pat1_1h_ribo	pat1_3h_ribo	pat1_5h_ribo	pat1_7h_ribo	pat1_10h_ribo	pat1_exp_mRNA	pat1_0h_mRNA	pat1_1h_mRNA	pat1_3h_mRNA	pat1_5h_mRNA	pat1_7h_mRNA	pat1_10h_mRNA
SPAC16E8.06c	63.2053397474575	31.6720048234275	77.0034538266486	63.877893829154	29.1089353286337	70.6902173275263	8.60817853294136	110.544304635892	92.0408341857471	24.7681614241493	111.706162649272	94.8397028909573	19.0146986427042	76.4285943893765
SPCC13B11.02c	0	0	0	0	0	0	0	0	0	0	0	0	0.338634806146675	0
SPBC11G11.06c	355.887364699568	67.0058553011268	409.372400265102	1167.29633853171	20.3596409414461	124.14933197393	51.2058021998589	66.0915511650718	55.8642408364888	35.7403077886585	79.5912828885551	3.06801861041504	9.87971347695036	30.8610176783095
SPBC460.04c	25.2798446889358	0	1.11530019418138	1.10242059587289	0.600385618143427	0.825739165899926	3.44840252792494	4.4147179436437	0	0.462637382367071	0	0.288414706117781	0.794852584632534	2.55678720854888
SPBC211.07c	76.3909343070843	154.948971720413	117.156137668511	1762.03754785016	70.3595803809096	617.984921924133	283.816738165709	3.81650504397513	21.8709327364493	32.1502934430325	89.6924719006417	13.1634425482968	86.2656310271829	85.7850473747544
SPAC13F5.01c	10.0534664379709	4.23544104629584	12.374625434395	24.7240639088513	2.64613301209211	2.52693099285438	1.9378669685474	2.60015447672845	17.4043687859172	17.6621381778958	9.09424810745907	3.43619758349376	11.1930308496384	4.32264146794639
SPAC1002.06c	4.08012342292258	61.3409908609284	66.7248733528541	1139.17244561913	16.7638043401974	4.72082517350519	2.85021625845735	0	5.26397364255077	19.7229748812596	24.699283482432	3.67393070721763	0	0.395548078920393
SPCC4B3.17	140.857724267688	225.965204015355	27.3471400670214	298.04536593537	37.1261788818344	112.55153564627	100.039074999614	58.1098710737111	88.5196261422355	31.0513010103367	55.953136483507	3.52908647955464	63.3588990532847	19.7130432062466
SPBC1773.01	36.7877054195738	74.4482420324063	20.6633211404909	493.184733317026	173.776043347996	5.91257363960802	16.897347281127	50.7190781768574	19.9278703734243	39.7265399423498	129.876598113085	18.7870356481965	15.1236604253807	10.2928857611232
SPAC1610.03c	1.18518624632176	3.33928292819921	1.64336592872324	1292.64833920407	12186.3111588168	121.163128097066	71.021575052972	0.607804739550314	0.662028601659762	0.910519837734301	418.650585426149	338.897818932756	106.938829284211	40.8110006001
SPAC1F5.02	407.60579113696	898.463558709097	544.797364238937	2187.85824693185	1990.33557980738	159.741164016466	111.305817145572	324.786766483415	89.9962396946408	142.776545827396	776.202613896095	122.688122077204	140.834610856071	241.838619309168
SPAC14C4.05c	8.63418397238936	44.4355236613201	37.433732809494	320.935403542333	2211.40645078021	53.2257551167638	15.7896234794069	6.68985701707139	8.29656679289639	5.04095575069569	144.432862700857	49.2767755638726	23.0240231417511	22.2467209618598
SPBC15D4.01c	7.28511978454716	71.3721875342244	28.2873516054549	47.1444722300006	119.469107611485	53.3033785690881	9.15220439939263	19.6321233723485	20.3093463806571	9.08237620375021	28.3538088079872	6.02031788392084	11.0659687926117	30.0268985744898
SPBC577.04	20.5396207499705	55.4733790815184	68.7632961432755	63.3661549843728	10.8755658705077	25.7999368630395	3.74688393907776	28.9871469252301	76.6677613330003	11.6485506582475	122.502243259061	3.60903240267961	16.7694980568093	16.8744154305972
SPAC31G5.02	139.323369025591	111.511764056533	212.04549669575	544.600168721746	274.223661719007	311.14709409807	27.6321024811801	44.0950518177699	47.2952703026814	15.5553975878673	106.275837122527	52.2144340231705	36.6997818260888	101.03271821955
SPAC22H10.09	27.1608316003595	8.96831164420795	37.2206909091795	62.5068249813523	3.03898558027754	8.0381681253485	1.20394977139606	18.97634038574	56.4287757322942	17.9550174179964	77.7090276306789	4.67549093200266	3.05556358102959	21.5126144344613
SPBC3E7.06c	87.8503472532829	41.0439365755025	31.0809415489043	360.628897569078	65.8694263956229	51.0266861377386	14.4330077849781	18.9527242590427	74.1335691057021	5.39069506582368	45.5178903516882	35.6431538191329	14.1657654124548	64.2937863926136
SPAC29B12.08	147.776215783178	67.1414820402433	87.7563590958663	318.161830271774	26.8777828566555	54.4174166154832	63.8664088023177	8.55695059814589	27.842483194836	9.19911024157969	12.6196549614564	2.29394225329374	10.7247486992418	39.0373239341334
SPBC1289.10c	21.8823063543898	18.8456957844101	20.5436479479466	96.7415453967231	5.73771434485848	99.309703232356	49.0814324181715	3.16332187973453	17.6202113532581	13.0816806548208	8.48318375105208	1.81842630120796	4.87510411979802	16.4229511387806
SPCC569.03	33.1031022482919	159.166971431867	28.0142048423032	109.450330085839	48.6847142070954	843.324991768935	973.769431290188	12.0978315523442	192.436773664257	38.5026317870612	30.0448269088825	39.6003486139198	455.145077489075	292.399097314604
SPAC19G12.14	43.7830757167099	105.522037425747	61.5173534380715	660.977266251756	222.359875018158	42.9083607761977	14.9121684048293	8.49197718751132	28.4963057927155	38.2573209858482	29.1981211279782	25.3021576364565	16.8671861529107	6.71526813720652
SPAC9.10	474.86174102198	536.536271989359	203.387914794036	1600.40550450698	472.664110732975	127.763624569852	118.836635379284	119.166656420172	138.546647111168	68.5608637313945	54.8689887327992	5.71390132944857	30.8356567666164	31.6807250706829
SPAC13G6.08	0.467472258679452	24.3266375060729	2.61124266429738	9.78800915229762	333.383559628127	801.950243567253	160.939054226944	1.00878625862567	10.4457112212975	6.56262008761982	24.6993161689137	440.199324096576	722.64683766099	69.9025300082842
SPCC1450.07c	31.388752329975	467.783936229532	22.0964434063565	113.795347531357	84.4364356689712	9.22389678149689	8.76900941264887	25.3841067286887	48.2840743858359	16.2308639847348	97.606581948306	5.2503371556523	13.9555122804938	20.7855455877416
SPAC977.10	14.3255469922906	283.85135232764	8.89368708947148	17.9673192562956	6.50870291053493	12.2905547370032	13.6234783804872	63.9443048828478	129.66684945783	19.1099226619047	33.1713474879398	2.3083480792593	34.5085077819075	134.889144554353
SPCP20C8.01c	20.498325453071	366.761432036066	125.366107897494	105.902970634476	102.559260272438	429.984206434399	116.659582643751	62.9116308112677	117.785599061514	58.5999138557015	342.801562968184	20.5993352755944	231.820579291386	334.566923233494
SPBC3H7.02	23.9116068959856	23.9014711485556	163.409395220519	54.2540679621617	83.1344542711274	39.105981760788	31.3046870132773	13.8680913343718	3.30485460768531	6.39838485962848	24.3372119210779	3.28261406536449	8.56145147881046	43.9586225726779
SPBC19F8.07	31.2973162259142	278.157145316261	57.4340330884855	115.385839115364	773.553750074597	544.044650925209	10.0864775657876	26.4924691139234	83.6812282432025	4.5445625710806	115.963662206666	109.028227006459	137.93660782602	23.5538712841601
SPAC1556.01c	17.6277100390799	29.8144332894023	18.8137921748085	36.4037490345821	7.30652637022805	19.6701486220172	4.24458906314	18.3582256242036	42.3411872082184	5.52690861423316	30.4560389593049	2.3125208849035	4.35373338806005	36.8210173932737
SPAC4G8.04	24.832065099258	25.9433975517125	40.2547428268068	49.5028065420149	79.9425621130051	54.2622693435321	13.8055488889953	7.9415861224993	103.233061259935	5.88458564525316	36.1974846264878	25.7164962487311	6.637328593173	36.0120611676624
SPCC777.08c	40.3543338272796	4.78491691939849	49.3569558915995	134.218664534108	6.49775779275433	8.95542867069347	4.28732602948705	20.5852526485033	19.2440142263876	14.9161677262408	38.5029188334288	8.01456334605686	2.31616607990843	17.053812703174
SPBC947.06c	54.3512664986712	19.9145190279513	36.3601333365686	144.627000579512	9.99888627131346	2.59470767169114	2.1671725003812	3.26407075138069	17.3519444960805	4.36121558606049	14.6355038476188	9.96909362743036	2.34154936571607	4.0170766413646
SPAC2F3.14c	14.3025919132361	21.3508867823338	29.8112150705917	243.500851582175	13.0687975693534	61.8924519776531	44.2562167866528	4.82044510455733	32.1739865069905	26.8726093882305	42.6203325014384	7.3350512576781	10.3786859496623	14.3828751470454
SPCC1322.02	29.9792420406311	11.8498275596604	9.97475453102195	27.9434566892919	8.18788381568201	7.47424465882799	5.92685390260904	10.5369575810431	55.2707377646385	44.1970508427553	23.1339477975157	7.81637320139737	32.2582355460247	18.219564983698
SPBC18E5.15	0	2.37153310601907	0	4.74705031930015	0	1.23196986958881	0.991742088047311	1.36658842059387	14.2866094476091	16.0129024283196	23.9409721704652	3.83506780609143	22.7446810027757	13.6255925729957
SPMIT.05	41.6915375348474	43.994544551747	13.2233375512965	89.6820980925769	68.2854751376376	20.4645873569074	15.3422717350982	122.460611840849	83.2532105623287	31.7613030318242	12.2464641460448	4.52050512430788	39.6549273240918	24.8902572799625
SPCC622.15c	12.1241203284007	53.2779521971759	14.798913624247	200.969931725014	17.4253603149847	12.821997857269	40.3162035070172	4.3605602182736	3.28381298611187	13.57758543014	31.8506817364489	0.503385415788888	6.07841845061805	9.91144001205823
SPCC777.12c	127.516596332038	102.178468173783	57.6883309750458	121.6132105965	77.4706718541334	43.335702410387	63.1101351400093	160.021679832084	38.207633510821	58.9142531140982	190.040150111765	5.96307473739117	80.3820643178536	51.5985940358874
SPCC16A11.12c	10.8983961285736	47.1130802256328	35.6307040103328	81.1273792710591	38.7059383568427	9.16418144831962	9.58043216474759	29.4529760000125	7.98610171320528	22.8885880239733	49.5700256307538	2.99034401323878	20.5638228089639	47.3915955904061
