,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC10F6.10,1.216636998760054,-0.6614581699686627,-0.5074789558645098,-0.37409258683785857,0.17895422851089593,0.21655776994968495,-0.15945296214605248,-0.023641006593084102,0.12280499888979346
SPAC10F6.11c,-0.836154669782367,0.6126148628803098,0.4780919610535023,0.1176862491976951,0.34917454755629773,0.7442167541454283,-0.6366604471847126,-0.22958640156454568,-0.07924587765700641
SPAC10F6.12c,-0.6076526499322294,-1.0596832876605957,-0.8069843866949475,-0.13636882103557357,0.08000975652442,0.23640896051826843,0.5798854251738745,0.11832356050701831,-0.03492493086233828
SPAC10F6.13c,-1.5681855951520975,0.24327392030848793,-0.45558495033729307,-0.5128420306967356,-0.2112204472858501,1.6673010620407218,0.013647679071573604,0.03873160565292366,0.41912418927036765
SPAC10F6.14c,0.6166285015319779,-0.11373642964179431,0.2165393700085707,-0.0023938292239185366,-0.42813369423499315,0.27066635498071867,-0.30354682628167473,-0.09742609905124922,0.13087199665748256
SPAC10F6.16,0.8396968405594771,0.3526605386854361,-0.4480144799381449,-0.9343181945324261,-0.3632835235766009,1.3012908956483082,0.0242203399595195,-0.08356164898862489,0.5439922040812479
SPAC10F6.17c,0.4984861887442061,0.28849090938155925,0.2443504687270625,0.2622110277529086,0.5664792016403386,-0.7733066956890294,-0.2009549780650095,-0.0553488550962572,-0.06504185983838606
SPAC110.02,1.0775921424437835,0.04829134589120643,-0.651376251949788,-1.8879075012896678,-0.6832528582271797,1.2151230043756398,0.557976172650992,0.17222855949330873,0.1323596895383795
SPAC110.03,-0.6762032302730119,-0.21503442529884523,0.055301136822796054,0.5542771611787256,1.6860840497601732,0.6533492671971306,0.12739563417336308,-0.9470375196132645,-1.0187442438014465
SPAC110.04c,2.872359910779646,-0.6362417979858982,0.08390849562836356,-0.22937712934181276,0.203096041015409,-1.841111370882322,-0.3201917026727783,0.018030244876610535,0.11772922586967849
SPAC1142.01,0.42795117895192686,0.06386462114603952,0.20301348195578295,-0.3018851955466942,0.07675885265302929,0.29373917218042983,-0.14269719549925464,0.12505830959013176,0.22392807184607377
SPAC1142.02c,-0.18764892115310772,0.0049599011543297045,0.05714846459611053,-0.3374578234323388,-0.9827291385266064,0.4311583417396774,0.01877702418466276,0.10558401415051077,0.19314231339352983
SPAC1142.04,1.085745202228966,-0.8880942478683227,-0.28485748941812195,0.09521897024729942,-0.42700139133275705,0.4977561158694832,0.1264490143845206,0.0755364780574993,0.11627882192638589
SPAC1142.06,0.2252439810815528,0.14455626751752382,0.15713798622192415,0.07328097909605999,0.3452218989791861,-0.34935986325085544,-0.38007263009167636,-0.3236523328105083,-0.11809303773080926
SPAC1142.07c,-0.3642000834828303,0.30455615643302547,0.37398123154285723,0.49557237358951656,0.7975448441585227,-1.0229977295422539,-0.41800569356509587,-0.2872907673046582,-0.1953719782957945
SPAC1142.08,0.09627831536631667,0.5845565074594943,0.5714939814796414,0.2489159996254613,0.7610654658943856,-1.0455034594811308,-0.1084822805565242,0.061625204845985104,0.0689272084511039
SPAC11D3.01c,0.5322682300323999,-0.7131403493953177,-0.3378912717391048,-0.2354468983092087,1.5084244888010203,3.174018762375045,1.461471533236745,0.9621443876144458,0.5245650040136454
SPAC11D3.02c,1.8142902063646134,-0.06132795334044783,-1.2907975810054755,-1.125003721519306,-0.6084943986894085,0.47964502078992677,0.40005238544544675,0.06916804092822781,0.0016642286845667265
SPAC11D3.04c,-1.1401139760681833,-0.4133593986857948,-0.13205233000310118,0.13983096235258557,0.20202664339435222,0.22690016625216503,-0.009086903608427455,-0.2859209561639398,-0.02941827665819441
SPAC11D3.15,-2.0958087908727685,0.326402007647004,-0.06930882905368274,0.2114560518462214,-0.5180539315102464,2.206046740895727,-0.44670456650877605,0.3659926061329093,0.9973248067583796
SPAC11E3.01c,0.6350712648739866,0.34973791531662,-0.2854735211481363,-1.270134952713065,-0.9048375244873876,2.0437582114454362,0.18056958809492507,0.23762726105869836,0.10985390924032978
SPAC11E3.02c,-0.851356331499763,0.2160316766329073,0.29279132577271016,-0.03095926309899566,-0.958369837370032,0.4930797704567953,-0.03294955934755911,0.05812755789690549,0.10304685921472428
SPAC11E3.03,0.17809276430709164,-0.014718831712661418,0.3018733003521813,-0.06772030720535055,-1.0194193104912346,-0.09378454712202378,0.13890466140210234,-0.04622774984919076,0.12139314694089304
SPAC11E3.04c,-0.1572173454123808,0.060264310742354235,0.11139532526109722,0.20660460381345974,0.5960894758682747,-1.5368119353059204,-0.06789799466987967,-0.20790992699805355,-0.08067052769122063
SPAC11E3.05,-0.21765520124939425,0.32396261797650366,0.15284480966710112,0.05761269271786229,0.02469775299288568,0.06442134418536538,-0.338750136702884,0.22870715686159748,0.12693833033891933
SPAC11E3.07,-0.7862851787328848,-0.11506838976622547,-0.289769977463876,-0.20125535139250772,-0.44651280136241644,1.0565295302889033,-0.22123621421090478,0.10514565387287145,0.18325273194906755
SPAC11E3.11c,-0.61499527414238,-0.32416171711299835,-0.38316443635061703,-0.04485456980373548,0.005206248920917922,0.11720344935532578,0.4220150080769832,0.3032895782026619,-0.10472332982215649
SPAC11E3.13c,-1.0424587973980168,-0.3918256137923022,-0.2645726764151317,0.6435063481471743,-0.03583486397849733,-0.7915224215709769,0.7095533995706682,0.20732485766139108,0.024557160734617667
SPAC11E3.14,-2.135435020543196,0.0033478842173534362,0.14107568237921397,0.7710886953434378,0.9403928248393234,-0.9697613412073286,-0.05711609411821422,0.20697830423433566,0.3358910198707975
SPAC11E3.15,2.6136132069075466,-1.0233217075093606,-0.7013913059752793,0.17408278188888715,-0.0016973429589935973,-0.924581866237565,0.3624525012408024,-0.1448875724218166,-0.12279816397757015
SPAC11G7.01,1.5926469550456832,-0.2374583566132522,-0.3779086348706181,-0.7060434161526012,-0.7353885890540732,2.217279494925458,0.2616026365981001,0.01738750989037796,-0.1681670617606792
SPAC11G7.02,0.32584963959833196,0.26944433206565466,0.18554629565763214,-0.17384551351397592,0.11617989234664738,-0.04999577510113573,-0.4618934317035922,0.20760399293809775,0.09908634259111337
SPAC11G7.03,-1.8954507166968626,1.1604136266746254,0.9475244378247332,0.6906384333820683,0.7722562134842295,-2.553617663509236,-0.12554172309883904,-0.2788137533860737,-0.49966825238039303
SPAC11H11.01,0.9312790243326353,-0.05235495079557606,-0.22249804261435968,-0.5163846890324071,-0.16125321906746626,0.43386898884141323,0.24049690003755797,0.057511937972022364,0.021743066624912544
