,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4456,prp43.B,PRP43,SPBC16H5.10C,1,0.30381042,1.2004782,0.78040665,0.38078192,0.2633069,0.20183791,0.3648165,0.5722501,0.654716,0.69081736,0.69112915
0,1303,C19F5.04,,SPBC19F5.04,,,,,,,,,,,,
0,3809,I12_C19F5.04,,SPBC19F5.04,1,0.6650268,1.5347158,1.8141361,1.0576773,0.76239705,0.755655,1.0136138,2.3740318,3.0647092,3.1069021,2.5477633
1,68,atf1: mts1: sss1: gad7.B,ATF1 MTS1 SSS1 GAD7,SPBC29B5.01,1,3.0176175,2.3809958,4.0693393,3.5694127,1.8752035,0.99889153,3.1591353,3.9202247,4.075246,3.9686353,3.8618472
0,67,atf1: mts1: sss1: gad7,ATF1 MTS1 SSS1 GAD7,SPBC29B5.01,,,,,,,,,,,,
0,3832,I4_C354.06,,SPBC354.06,1,2.3173127,1.4866343,1.5683022,1.3617053,1.0102754,0.7903973,1.6861627,3.4199896,3.341487,3.1810913,2.9493392
1,2277,C354.06,,SPBC354.06,1,1.4443246,0.99339044,0.971494,0.8055208,0.59525245,0.42420802,0.774334,1.3156954,1.1435801,1.3062723,1.3485487
0,4476,ptr2,PIM1 DCD1 PTR2,SPBC557.03C,1,22.458498,9.35033,7.2512226,4.0368323,2.4589047,1.1764816,1.0681359,1.3579166,1.300312,1.1514696,1.4995271
0,4387,pim1: dcd1,PIM1 DCD1 PTR2,SPBC557.03C,1,0.8253139,0.8946572,0.90410703,0.7324661,0.4759799,0.2490926,0.7613602,0.78376865,0.8453139,0.89580935,0.9381118
0,3821,I23_C660.16,,SPBC660.16,1,0.78033805,1.1021843,1.3480442,1.7186341,1.2570866,1.2956481,1.3130019,2.886943,4.243106,5.3018208,4.4242663
1,2974,C660.16,,SPBC660.16,1,0.49088556,1.1984237,2.5912364,4.3213463,4.121554,1.2624695,0.27163607,0.28897965,0.28478968,0.18053664,0.17785203
0,3814,I17_C8D2.01,,SPBC8D2.01,1,1.37003,1.10851,1.41886,1.29649,1.18382,1.91533,3.7358198,5.6846,3.8199897,2.88996,2.42253
0,3360,C8D2.01,,SPBC8D2.01,,,,,,,,,,,,
1,3361,C8D2.01.A,,SPBC8D2.01,1,0.9100457,1.3871622,1.2972381,1.0310297,1.7333853,6.2051163,6.777391,5.218971,2.8384125,1.5099432,1.1125474
0,3830,I31_cdc37,CDC37,SPBC9B6.10,1,1.61558,1.14969,1.4769844,1.31144,1.2479501,1.662008,,1.59951,1.32845,1.4655672,
1,3536,cdc37,CDC37,SPBC9B6.10,1,0.88798,1.21315,0.99228,1.24334,1.38706,,2.12745,,,,1.69135
0,4457,prp5: cwf1: pi024,PRP5 CWF1 PI024,SPBP22H7.07,1,0.9384629,0.71486425,0.7963455,1.0732268,1.2302625,1.2952577,1.5140965,1.2444355,1.1776887,1.1743317,1.1136856
0,4687,rps10-2: pi023,RPS10-2 PI023,SPBP22H7.07,1,0.22625136,1.7084609,0.95371246,0.44689915,0.39640653,0.24397147,0.20412752,0.20925385,0.23468468,0.24196133,0.29346648
0,290,C1223.14.B,,SPCC1223.14 SPCC297.01,1,0.42572886,0.6295018,0.4490738,0.25540996,0.13079798,0.17809276,0.22510543,0.30621454,0.33518133,0.38260648,0.462799
0,289,C1223.14.A,,SPCC1223.14 SPCC297.01,1,0.4198992,0.64463955,0.47091857,0.24436517,0.10832624,0.09488957,0.21547191,0.2720103,0.3108726,0.34861004,0.41496086
0,288,C1223.14,,SPCC1223.14 SPCC297.01,,,,,,,,,,,,
1,4741,rpt4,RPT4,SPCC1682.16 SPCC306.01,1,0.8889067,0.97501177,1.1347505,1.3299396,1.5141594,1.6909642,0.60470223,0.5686172,0.5347038,0.5761716,0.65085596
0,3822,I24_rpt4,RPT4,SPCC1682.16 SPCC306.01,,,,,,,,,,,,
1,3664,dim1: C16A11.05c,DIM1,SPCC16A11.05C,1,1.4002237,1.6431847,1.2727472,0.879113,0.61638206,0.6369657,1.0611,1.1667092,1.0835764,1.1928748,1.157996
0,3665,dim1: C336.02,DIM1,SPCC16A11.05C,1,1.1287062,1.06413,0.7269599,0.5866534,0.5009634,0.5434825,1.4193171,1.7275069,1.6132874,1.4386296,1.5584481
1,1112,C18.15,,SPCC18.15,1,0.9815385,1.3396163,1.2214054,0.8648028,0.8488123,0.60547,1.0372741,0.9587861,0.8119374,0.8125747,0.77631414
0,3836,I8_C18.15,,SPCC18.15,1,4.72941,3.4276514,0.63566,,0.9156,1.31909,3.2327974,1.9365306,2.7973819,2.7757533,2.4561555
0,3835,I7_par1,PAR1,SPCC188.02,,,,,,,,,,,,
1,4214,par1,PAR1,SPCC188.02,1,1.0393877,1.75763,1.6921524,1.8216244,1.9569106,2.3534722,0.71583843,0.8117864,0.8173526,0.7396358,0.72592986
1,2698,C550.11,,SPCC550.11,1,0.3805445,0.7300936,0.59640604,0.47663775,0.404255,0.45256892,0.32720774,0.3730627,0.45456827,0.5544383,0.64538836
0,3833,I5_C550.11,,SPCC550.11,1,1.13833,0.6388,0.46674,0.29748,0.20756002,0.24488999,0.29717,0.50491,0.47937,0.5387,0.4722
0,3834,I6_C622.14,,SPCC622.14,1,1.0686327,0.8271696,0.9710294,0.8747529,0.7864963,0.74449134,1.213414,1.884905,1.8943875,1.8657066,1.7726935
1,2885,C622.14,,SPCC622.14,1,0.43179414,1.1413025,1.0352064,1.2099776,1.34815,1.3025874,1.3100998,1.0963196,0.9748514,0.8994761,0.837334
1,3138,C736.11,,SPCC736.11,1,2.0319033,0.99500847,1.1735293,1.5120496,1.6210481,1.0298526,0.798472,0.9151966,1.0171807,1.067175,1.0488449
0,3823,I25_C736.11,,SPCC736.11,1,1.602174,1.6287006,1.8756956,2.1050863,2.1175666,1.8617338,1.1996704,1.5232176,1.589507,1.5465832,1.3763971
0,3824,I26_mob2,MOB2,SPCC970.04C,1,0.83611,1.16513,0.98343,0.80122,0.6003,0.53871,1.14642,2.2429,2.7193003,,1.65317
1,4006,mob2,MOB2,SPCC970.04C,1,1.5070401,1.255287,1.1104722,0.9984409,0.9430945,0.44720986,0.69351184,0.9379543,0.98343915,1.043156,1.0605403
