,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10
SPAC11G7.03,8.796022767050435,5.966959486820647,9.7468197770625,9.171649320949603,6.347242687479369,5.655442219099018
SPAC11H11.01,5.9820740782300845,5.417416545762216,6.322060525424446,3.019472398727081,5.107619043694835,4.015584548335371
SPAC11H11.06,8.981296318642109,8.163950752531369,7.51557377551638,7.508803030646335,9.454949044174583,6.058543502046863
SPAC1250.01,6.312764122151491,5.51236841198464,6.089959852853439,3.69850638606747,6.445855652652247,6.427235962833522
SPAC1250.03,6.489720800550037,4.856047652308363,7.1265832363336115,9.307349852863164,5.0914229146798675,6.417477268050221
SPAC1250.05,8.288715081508489,11.618131545996327,10.983527378317573,9.236197349854548,8.63682906262092,7.349245827821722
SPAC1296.01c,7.526852145264902,5.401641241891771,7.977352611047417,3.955978643996103,3.5804590367075773,4.520446276723318
SPAC1296.02,9.073083930799221,10.667795506244511,11.556828222934763,10.277309583028451,7.842621780387289,6.977842591635151
SPAC1296.03c,3.4974450112811617,-0.27482451629339844,4.209722216098081,3.854162957350165,-0.11001358134062977,0.9347459759476063
SPAC1296.05c,3.8067212159435866,5.076547319969977,6.601060356214249,2.237722472675255,3.8704680430608933,1.8077835341267985
SPAC1296.06,5.605606915900342,5.329360522884675,6.521669606702578,5.363362034814246,4.8022240983762625,3.5265264609358264
SPAC12B10.01c,7.022777505214826,4.935104358118772,7.817498745133334,8.60406799892634,4.3913842105147785,4.44241275716974
SPAC12B10.02c,7.523246159205266,7.33746376388674,9.168547950234421,8.166422795273954,6.816110182985693,7.018782120758044
SPAC12B10.03,6.278911274866446,7.046529422626313,6.858229865961115,7.277860790851788,6.340013488517479,4.421433379373021
SPAC12B10.04,4.944074941034506,4.1009908188580155,5.778436026273601,4.923075406350245,3.6605106972689896,4.66851952623415
SPAC12B10.07,5.371297379393038,7.251706802005398,8.952668530352373,4.123375373250211,8.681627175043396,5.956470896584255
SPAC12B10.10,4.335499893164032,2.8171508634313986,5.809385290567458,6.441735531085943,3.0585083072415333,1.057896556119346
SPAC12B10.13,7.402858703754976,6.4137480104215685,7.114230970966548,9.155716760382226,7.247985972938074,5.663910950301335
SPAC12B10.16c,5.522391459239518,6.112299002426872,9.871442717031881,8.892566769226653,8.827034959202916,6.236230847328444
SPAC12G12.01c,4.87896892364818,4.558417062903638,6.58814651784193,4.856706420603752,4.016039450961606,3.5956482504009015
SPAC12G12.02,4.460346644211691,6.278370015747712,7.373500798551808,1.6053357050444292,5.708011817025526,3.553750957894465
SPAC12G12.03,7.990999347255727,6.894967009587611,7.33003080685095,7.655686751455638,7.818076348844097,6.712973345434533
SPAC12G12.04,9.319717928795436,9.771082302165626,11.34068564213419,8.017484438078975,8.91301017217587,7.901531719970489
SPAC12G12.05c,6.653988669093148,7.321480743979865,8.971480004429425,6.135828899704589,7.631967801101254,6.987944364771776
SPAC12G12.06c,6.00040612666818,6.9451681522490345,5.849921675331251,6.4738008835549,7.755384819929737,4.218873327064248
SPAC12G12.07c,7.348713789700945,7.7885345040003395,10.761155567187277,9.676077811725788,9.010864192514916,6.712129318025036
SPAC12G12.08,7.3976221297087275,5.609691846315473,8.804015450136042,7.959294664219385,6.222722065942658,6.467737441830512
SPAC12G12.09,5.3839365925648615,2.1466142708144105,5.275142176357415,6.502571173967605,5.182960877443587,4.901118259267366
SPAC12G12.11c,5.882655697169708,4.071549781560788,7.351187577905865,6.823881148562423,3.5904777042730625,4.300836443388902
SPAC12G12.12,7.462148664256912,5.461986232529679,8.226500228148074,5.34005240083902,7.467096394756357,6.726796240593862
SPAC12G12.13c,3.678364783221288,6.007617294799968,4.822679608068748,3.052621678999953,4.564243319593471,1.6286358684327706
SPAC12G12.14c,4.6969379870782,5.355204631376082,8.016347673562208,4.5559065295530035,2.9674342024158804,4.635769721600775
SPAC12G12.15,4.902812996693118,5.686078129804617,7.112822476761073,5.270528240039215,4.87774483913874,2.9827349822507614
SPAC1327.01c,6.434641248957709,6.2353221010459166,5.181473020459527,6.179564524552483,6.640874199454027,4.833909723039731
SPAC139.01c,6.547366854815383,5.569753864065349,8.629689413316843,8.636534980626429,4.450518611324041,4.547192919015687
