,prot,prot,prot,prot,prot,prot
,h0,h1,h3,h5,h7,h10
SPAC10F6.09c,-0.2346368401149022,0.35466739161144667,1.703851864148395,0.09999057832752765,-0.7954978365075162,-1.128375157464951
SPAC10F6.10,-1.140988315660003,1.3819223092389405,1.034097839651242,-0.15294561235179122,-0.37918196986284314,-0.7429042510155449
SPAC10F6.11c,-1.0417711078406786,-1.1424454826531094,-0.316427814405245,0.30182820427348583,1.0780995416685564,1.1207166589569906
SPAC10F6.12c,0.016500655945437995,1.2576353362126156,0.9773381158550084,-0.5085018136940694,-0.28610550482163893,-1.4568667894973553
SPAC10F6.13c,1.4689007413139112,1.0145131567439938,-0.22197107969173427,-0.8870257950241379,-0.8146774660812441,-0.559739557260789
SPAC10F6.14c,-0.35612913064600277,0.10920719077622462,-1.0867391432942561,-0.834946457495602,0.5223077976428343,1.6462997430168025
SPAC10F6.16,0.10010139987589642,-1.3940336037735692,0.6665165730139729,-0.7150741762815243,1.4425863196995965,-0.10009651253437189
SPAC10F6.17c,-0.9957482937180243,-1.146753337060794,-0.512135823866494,0.6564033255364972,0.9553913612029531,1.042842767905862
SPAC110.02,-0.2096866923304783,0.22975560954470406,1.663016530864649,0.3287860571457581,-0.9525217054323573,-1.059349799792275
SPAC110.03,-0.9143197376904735,-0.7768268682595592,-0.6102119191724741,-0.20679760724037907,1.251628045324973,1.2565280870379127
SPAC110.04c,-1.649839629933222,-0.8224650515850205,0.38896222509901135,0.7279572576604884,0.7079625050727107,0.6474226936860324
SPAC1142.01,-0.7686977514368825,-0.3887180521798003,1.0760514774900238,1.16979032017018,0.21056190161302205,-1.2989878956565437
SPAC1142.02c,-1.340668061362439,-0.6617364259374598,0.28054796291689116,0.8170034541640161,1.349402763577976,-0.44454969335898403
SPAC1142.04,-0.552499132664561,1.1610115205612506,1.1251476024149134,0.25931493378466514,-1.1140056976265424,-0.8789692264697256
SPAC1142.06,-1.1012428554858633,-1.1517704407129679,-0.3712602790017438,0.7712146598692827,1.001259327647664,0.8517995876836283
SPAC1142.07c,-1.1270992810616185,-0.9582875522266497,-0.4016070421680086,1.044852765776275,1.230207652925594,0.21193345675440747
SPAC1142.08,-1.2208629830599749,-0.6364507485614035,0.6276923878859654,1.6224607986244273,-0.17537423258478613,-0.21746522230422827
SPAC11D3.01c,-0.5950078295091459,-0.5049824410010586,-0.8492670164315885,-0.5245319817343052,0.8277776100441522,1.646011658631946
SPAC11D3.02c,1.3286104931236227,1.031366959869243,0.0763625182770114,-0.5679730431718508,-0.7136678742609526,-1.1546990538370732
SPAC11D3.03c,1.382628899249262,1.1071911281376392,-0.2508023125241327,-0.5831731351282616,-0.6174920269376689,-1.0383525527968367
SPAC11D3.04c,-1.1943192958772624,-0.964661250639818,-0.36926790788117975,0.36455837770284516,0.9534099993788163,1.2102800773165994
SPAC11D3.15,1.4664190682518987,0.9321041082009696,-0.24224696185524955,-1.005397657932504,-0.9283048905293665,-0.22257366613574756
SPAC11E3.01c,-0.5302533249787703,-1.5144304980580978,-0.3642919811447432,0.8336197840585281,0.36528731950877147,1.2100687006143116
SPAC11E3.02c,0.5071554282727812,-0.43362432305893833,0.6781847572064181,1.3589191823243112,-1.1572421586901667,-0.9533928860544056
SPAC11E3.03,-1.4367149349125532,-0.9745028743481635,0.06847837602238555,0.9692675568935597,0.9090116243172031,0.4644602520275683
SPAC11E3.04c,-1.0885966960040807,-1.1872108858079065,-0.3338451278063206,0.8636467628967517,0.9822752540467544,0.763730692674802
SPAC11E3.05,0.19046240189247762,0.3057646788347235,1.0769027713904933,0.7353595241126759,-1.6568365831087561,-0.6516527931216144
SPAC11E3.07,1.4242203483229303,0.8811968582073263,-0.3312350356994596,-1.3402539729263487,-0.10701332419826774,-0.5269148737061811
SPAC11E3.11c,0.9399732651529662,0.9099022356941301,0.7879935200865403,-0.5301871517375252,-0.7663217632011197,-1.341360105994992
SPAC11E3.13c,1.4647303541996617,0.9540295275488861,-0.35337491547988414,-0.685419307444344,-0.24413163093005263,-1.1358340278942674
SPAC11E3.14,0.6693660414138839,1.3941918663757062,0.2778636392643641,-0.340201485012829,-0.5463017537761249,-1.4549183082650006
SPAC11E3.15,0.6187175690213649,1.0898059161011349,0.9012187230375486,-0.45626382946022087,-0.8641301556468458,-1.2893482230529814
SPAC11G7.01,-1.3930027396104963,-0.8107951929203556,0.6117436063232877,-0.3213866050281132,1.1735231802479265,0.7399177509877506
SPAC11G7.02,-1.475168320321921,-0.9629891530510121,0.23786072308233513,0.42076176851810415,0.69034362983027,1.0891913519422243
SPAC11G7.03,-0.8318960900521708,-1.1572924564316962,-0.7184301387455975,0.8332488995080799,0.9093781846759473,0.9649916010454371
SPAC11H11.01,-1.0441630108559254,-0.6685691571361256,1.502937776798595,-0.12135354712910074,0.9186877607060294,-0.5875398223834732
SPAC11H11.06,1.5525068181125747,-0.09505870178148149,-0.7624697479155966,-1.2800378477998189,-0.015433015713744955,0.6004924950980675
SPAC1250.01,1.1727168212879238,1.0600598997013522,0.11090266583988855,-0.4071178641774644,-1.4414766214002788,-0.49508490125142174
SPAC1250.03,-0.72902834152587,-1.2299007184663868,-0.6986460636670169,0.8866868652820086,1.1236870396787682,0.6472012186984968
SPAC1250.05,-1.7184696726699493,0.5157325271775425,1.2537894178968174,0.2140919955580073,0.12031906408229563,-0.3854633320447136
SPAC1296.01c,-1.0603634939317368,-0.1614925475905896,1.9030015913142382,-0.4443574985521094,-0.08201763120952693,-0.1547704200302755
SPAC1296.02,-1.140388060402861,-0.8872607337680621,0.00696556883551002,1.166113805618251,1.197761539050548,-0.3431921193333859
SPAC1296.03c,0.2765633448295119,-1.1046259822591546,-0.9742956633229277,0.2291004157942046,-0.06894248330475931,1.6422003682631245
SPAC1296.05c,1.6499144903750447,0.3676332715911173,-0.08313579845337053,-0.03954257806062115,-1.359070321434028,-0.5357990640181419
SPAC1296.06,0.28808020023126174,-1.9020342022401358,-0.1751953757475795,0.49758234423904335,0.9514969297186263,0.34007010379878344
SPAC12B10.01c,-0.8202878194976414,-1.1179304737479163,-0.5879999038876152,1.3853336628522255,0.8547461049315148,0.286138429349433
SPAC12B10.02c,-0.48777944687647096,-0.051051118918796795,0.7482536316834013,0.061330848027543516,1.3066990090135315,-1.5774529229292076
SPAC12B10.03,0.13787444817336234,-1.1202638166052754,-1.2916571434442097,0.4210826169234209,0.6404983174717687,1.2124655774809339
SPAC12B10.04,1.0205096379220817,1.2744867276750762,0.28763608851901007,-0.9838883011980349,-0.7470198177189306,-0.8517243351992024
SPAC12B10.07,1.6146297417431394,0.5068058466897492,-0.32729048036820874,-1.3838806248595237,-0.3270246436392393,-0.08323983956591643
SPAC12B10.10,-0.9780049005881712,-0.9523747563563105,-0.49575483680491056,0.8179834416365264,1.4854506304108261,0.12270042170203951
SPAC12B10.13,-1.0835417934767655,-1.1543311149664972,-0.3893086957515347,0.7326695780221273,1.0197231746356799,0.87478885153699
SPAC12B10.16c,-1.1363527260570332,-1.2312700546627942,-0.13166260558266585,0.7373429279043215,1.0802778849848358,0.681664573413336
SPAC12G12.01c,-1.1089119002074648,-1.279418804917623,-0.1251355478695792,0.7725978590772448,0.8178786095309359,0.9229897843864856
SPAC12G12.02,1.1241879388227223,1.1247235037028276,0.21392282296453816,-0.3244645416740966,-1.199272846688714,-0.9390968771272772
SPAC12G12.03,1.4189296230656123,0.8786512738863261,0.10931767921425652,-0.5737330556567476,-0.6057429488160505,-1.2274225716933969
